Items,Sub-Items,End of Year,Assessment  raised  up  to  31st  December RM Million
Collection (RM Million),Gross  tax  collected,2000,27119.2
Collection (RM Million),Less  repayment,2000,2181
Collection (RM Million),Net  tax  collected,2000,24938.2
Collection (RM Million),Gross  tax  collected,2001,39905.4
Collection (RM Million),Less  repayment,2001,1531.6
Collection (RM Million),Net  tax  collected,2001,38373.8
Collection (RM Million),Gross  tax  collected,2002,42197.5
Collection (RM Million),Less  repayment,2002,1643.5
Collection (RM Million),Net  tax  collected,2002,40554
Collection (RM Million),Gross  tax  collected,2003,40526.9
Collection (RM Million),Less  repayment,2003,2511.5
Collection (RM Million),Net  tax  collected,2003,38015.4
Collection (RM Million),Gross  tax  collected,2004,46086.8
Collection (RM Million),Less  repayment,2004,4849.8
Collection (RM Million),Net  tax  collected,2004,41237
Collection (RM Million),Gross  tax  collected,2005,56854.6
Collection (RM Million),Less  repayment,2005,3247.3
Collection (RM Million),Net  tax  collected,2005,53607.3
Collection (RM Million),Gross  tax  collected,2006,65738.3
Collection (RM Million),Less  repayment,2006,4342.4
Collection (RM Million),Net  tax  collected,2006,61395.9
Collection (RM Million),Gross  tax  collected,2007,-
Collection (RM Million),Less  repayment,2007,-
Collection (RM Million),Net  tax  collected,2007,-
Collection (RM Million),Gross  tax  collected,2008,74703.2
Collection (RM Million),Less  repayment,2008,5394.3
Collection (RM Million),Net  tax  collected,2008,69308.9
Collection (RM Million),Gross  tax  collected,2009,90650.9
Collection (RM Million),Less  repayment,2009,8559.7
Collection (RM Million),Net  tax  collected,2009,82091.2
Collection (RM Million),Gross  tax  collected,2010,86499.5
Collection (RM Million),Less  repayment,2010,7683.6
Collection (RM Million),Net  tax  collected,2010,78815.9
Collection (RM Million),Gross  tax  collected,2011,109609.8
Collection (RM Million),Less  repayment,2011,7410.2
Collection (RM Million),Net  tax  collected,2011,102199.6
Collection (RM Million),Gross  tax  collected,2012,124891.9
Collection (RM Million),Less  repayment,2012,7767.6
Collection (RM Million),Net  tax  collected,2012,117124.3
Collection (RM Million),Gross  tax  collected,2013,128917.4
Collection (RM Million),Less  repayment,2013,7478.2
Collection (RM Million),Net  tax  collected,2013,121439.2
Collection (RM Million),Gross  tax  collected,2014,133700.1
Collection (RM Million),Less  repayment,2014,9306.9
Collection (RM Million),Net  tax  collected,2014,124393.2
Collection (RM Million),Gross  tax  collected,2015,121235.8
Collection (RM Million),Less  repayment,2015,7500
Collection (RM Million),Net  tax  collected,2015,113735.8
Collection (RM Million),Gross  tax  collected,2016,113945.263
Collection (RM Million),Less  repayment,2016,7000
Collection (RM Million),Net  tax  collected,2016,106945.263
Collection (RM Million),Gross  tax  collected,2017,115942.8
Collection (RM Million),Less  repayment,2017,"6,738.80"
Collection (RM Million),Net  tax  collected,2017,109204
Collection (RM Million),Gross  tax  collected,2018,129629.3
Collection (RM Million),Less  repayment,2018,"4,626.60"
Collection (RM Million),Net  tax  collected,2018,125002.7
Collection (RM Million),Gross  tax  collected,2019,"137,097"
Collection (RM Million),Less  repayment,2019,"9,652.60"
Collection (RM Million),Net  tax  collected,2019,127444.4
